gest;sent;value;lemma;feats;anim;conc;emb
pgb-index-nocontact-simple-down;And PGB-index-nocontact-simple-down the baby the PGE PGB-index-nocontact-complex-down kid is reaching down PGE for another coconut.;baby;baby;sg;anim;conc;def
pgb-index-contact-simple-down;No PGB-index-contact-simple-down he has a beard PGE.;beard;beard;sg;inanim;conc;indef
pgb-palm-contact-simple-down;Oh well ok PGB-palm-contact-simple-down so I see a bench PGE.;bench;bench;sg;inanim;conc;indef
pgb-other-contact-complex-down;There might be PGB-other-nocontact-complex-down either PGE you PGB-other-contact-simple-down know another blanket in the corner PGE or he is PGB-other-contact-simple-down sitting on PGE the only means of comfort in his cell.;blanket;blanket;sg;inanim;conc;other
pgb-index-contact-simple-down;PGB-index-contact-simple-down Broken bottle PGE.;bottle;bottle;sg;inanim;conc;other
pgb-index-contact-simple-down;Looks like people waiting PGB-index-contact-simple-down for this boy PGE to come back.;boy;boy;sg;anim;conc;dem
pgb-index-contact-complex-down;And the there was the man PGE PGB-index-nocontact-simple-down and the wife PGE PGB-index-contact-complex-down and the boy PGE.;boy;boy;sg;anim;conc;def
pgb-index-nocontact-simple-down;He has PGB-index-nocontact-simple-down got this chain on his leg PGE.;chain;chain;sg;inanim;conc;dem
pgb-palm-contact-complex-down;I mean PGE PGB-palm-nocontact-simple-down this PGE PGB-index-contact-complex-down the actually beating itself definitely happened while the kid was a child PGE.;child;child;sg;anim;conc;indef
pgb-palm-contact-simple-vertical;He does manage PGB-palm-contact-simple-vertical to have some relationship with his child obviously PGE.;child;child;sg;anim;conc;pp
pgb-index-nocontact-simple-down;The woman and the PGB-index-nocontact-simple-down child look scared PGE as well.;child;child;sg;anim;conc;def
pgb-palm-contact-simple-down;And he is PGE PGB-palm-contact-simple-down in his clothes PGE, his ordinary clothes again.;clothes;clothes;pl;inanim;conc;pp
pgb-index-nocontact-simple-down;Ah PGB-index-nocontact-simple-down yeah those are the clothes from before PGE.;clothes;clothes;pl;inanim;conc;def
pgb-index-nocontact-complex-down;You can tell PGB-index-nocontact-complex-down by the state of his clothing PGE PGB-index-nocontact-simple-down that he is PGE PGB-index-nocontact-simple-down going off to his PGE his court date or whatever.;clothing;clothing;sg;inanim;conc;def
pgb-index-nocontact-complex-down;Yeah but PGB-index-nocontact-complex-down they look in good condition PGE.;condition;condition;sg;inanim;abs;other
pgb-index-nocontact-complex-down;I do not know if these two PGE have gotten into PGB-index-nocontact-complex-down this conversation PGE or PGB-palm-nocontact-complex-vertical they are just PGE there.;conversation;conversation;sg;inanim;abs;dem
pgb-other-contact-simple-down;There might be PGB-other-nocontact-complex-down either PGE you PGB-other-contact-simple-down know another blanket in the corner PGE or he is PGB-other-contact-simple-down sitting on PGE the only means of comfort in his cell.;corner;corner;sg;inanim;conc;dem
pgb-index-nocontact-simple-down;I wonder if PGB-index-nocontact-simple-down that is PGE PGB-index-nocontact-simple-down his dad or PGE her dad.;dad;dad;sg;anim;conc;pp
pgb-index-nocontact-simple-vertical;You can PGB-index-nocontact-simple-vertical obviously see like the face of disapproval of the PGE child.;disapproval;disapproval;sg;inanim;abs;def
pgb-other-contact-simple-down;The bamboo door PGE and the kind of PGB-other-contact-simple-down no door on this door frame PGE.;door;door;sg;inanim;conc;def
pgb-other-contact-simple-down;The bamboo door PGE and the kind of PGB-other-contact-simple-down no door on this door frame PGE.;door;door;sg;inanim;conc;dem
pgb-index-contact-complex-down;He seems to have PGB-index-contact-complex-down a history of drinking PGE with friends.;drinking;drinking;sg;inanim;abs;other
pgb-index-contact-complex-down;They all PGB-palm-contact-simple-down yeah PGE PGB-index-contact-complex-down they all have got drinks PGE.;drinks;drink;pl;inanim;conc;other
pgb-palm-contact-simple-down;Well it is not an PGB-palm-contact-simple-down excuse obviously PGE.;excuse;excuse;sg;inanim;abs;indef
pgb-index-nocontact-simple-vertical;You can PGB-index-nocontact-simple-vertical obviously see like the face of disapproval of the PGE child.;face;face;sg;inanim;conc;def
pgb-index-contact-simple-down;I can not quite PGB-index-contact-simple-down see on the PGE dad is PGB-index-contact-simple-down face PGE but PGB-index-nocontact-simple-down the mom and the PGE boy look quite sad or angry do not they.;face;face;sg;inanim;conc;def
pgb-index-nocontact-complex-down;Maybe PGB-index-nocontact-simple-down maybe PGE PGB-index-nocontact-complex-down this family was PGE not at all kind to him.;family;family;sg;anim;conc;dem
pgb-palm-contact-simple-down;PGB-palm-contact-simple-down Working PGE PGB-palm-contact-simple-down having fun PGE PGB-palm-contact-simple-down with his family PGE.;family;family;sg;anim;conc;pp
pgb-palm-nocontact-simple-down;He has the anxiety PGE PGB-palm-nocontact-complex-down the fear PGE.;fear;fear;sg;inanim;abs;def
pgb-palm-contact-complex-down;And he is PGB-palm-contact-complex-down enjoying the feeling PGE.;feeling;feeling;sg;inanim;abs;def
pgb-other-contact-simple-down;The bamboo door PGE and the kind of PGB-other-contact-simple-down no door on this door frame PGE.;frame;frame;sg;inanim;conc;dem
pgb-index-contact-complex-down;It looks like PGB-index-contact-simple-down he PGE PGB-index-contact-complex-down is telling his friend PGE PGB-index-contact-simple-down about something he saw PGE.;friend;friend;sg;anim;conc;pp
pgb-index-nocontact-simple-down;And this guy PGE PGB-index-nocontact-complex-down observed his friend girlfriend stroking some man arm PGE.;friend;friend;sg;anim;conc;dem
pgb-index-contact-simple-down;I was wondering whether PGB-index-contact-simple-down this friend PGE PGB-index-contact-simple-down actually thinks PGE this is what he saw or whether.;friend;friend;sg;anim;conc;dem
pgb-index-nocontact-simple-down;But he also had some unsavory PGB-index-nocontact-simple-down friends PGE.;friends;friend;pl;anim;conc;other
pgb-palm-nocontact-complex-down;I do not know my guess is PGB-index-nocontact-complex-down he is with PGE PGB-palm-nocontact-complex-down his group of friends PGE.;friends;friend;pl;anim;conc;pp
pgb-index-nocontact-complex-down;And PGB-index-nocontact-complex-down so here he is with his friends PGE drinking.;friends;friend;pl;anim;conc;pp
pgb-palm-contact-complex-down;PGB-palm-contact-simple-down Working PGE PGB-palm-contact-simple-down having fun PGE PGB-palm-contact-simple-down with his family PGE.;fun;fun;sg;inanim;abs;other
pgb-index-contact-complex-down;And they are gathering some vegetable PGE PGB-index-contact-complex-down in the garden together PGE.;garden;garden;sg;inanim;conc;def
pgb-other-nocontact-complex-vertical;Almost looks like some sore of PGB-other-nocontact-complex-vertical spiritual uhm gesture PGE.;gesture;gesture;sg;inanim;conc;indef
pgb-index-contact-simple-down;I think this PGE is PGB-index-contact-simple-down the girl from this that he is PGE PGB-index-contact-complex-down the guy in the striped shirt PGE is telling him.;girl;girl;sg;anim;conc;def
pgb-index-nocontact-simple-down;So PGB-index-nocontact-simple-down maybe he PGE PGB-index-nocontact-complex-down is saying something PGE about PGB-index-nocontact-simple-down the girl PGE to the other guy.;girl;girl;sg;anim;conc;def
pgb-index-nocontact-complex-down;And this guy PGE PGB-index-nocontact-complex-down observed his friend girlfriend stroking some man arm PGE.;girlfriend;girlfriend;sg;anim;conc;pp
pgb-index-contact-simple-down;So PGB-index-contact-simple-down it could be his girlfriend PGE PGB-index-contact-simple-down talking to somebody else PGE.;girlfriend;girlfriend;sg;anim;conc;pp
pgb-index-nocontact-complex-down;His side of PGE PGB-index-nocontact-complex-down the gossip PGE PGB-index-nocontact-simple-vertical that he heard and PGE then obviously PGB-index-nocontact-simple-down her PGE.;gossip;gossip;sg;inanim;abs;def
pgb-index-nocontact-simple-vertical;But it is I think the PGB-index-nocontact-simple-vertical same group of people that PGE.;group;group;sg;anim;abs;def
pgb-palm-nocontact-complex-down;I do not know my guess is PGB-index-nocontact-complex-down he is with PGE PGB-palm-nocontact-complex-down his group of friends PGE.;group;group;sg;anim;conc;pp
pgb-other-contact-simple-down;I think he is being released actually cause PGB-other-contact-simple-down he is much paler PGE PGB-other-contact-simple-down than the guard PGE.;guard;guard;sg;inanim;conc;def
pgb-other-nocontact-simple-down;Is he the PGB-other-nocontact-simple-down same guy PGE from before though like the PGB-other-nocontact-complex-down same people PGE?;guy;guy;sg;anim;conc;def
pgb-palm-nocontact-simple-down;So now I am thinking that this is PGB-palm-nocontact-simple-down the same guy PGE.;guy;guy;sg;anim;conc;def
pgb-index-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical that is the same guy right PGE is telling PGB-palm-nocontact-complex-vertical the other about PGE the wife.;guy;guy;sg;anim;conc;def
pgb-other-nocontact-complex-down;Eh only I guess PGB-other-nocontact-simple-down yeah PGE the PGB-other-nocontact-simple-down the female PGE PGB-other-nocontact-complex-down the woman and the guy who is PGE walking up have sandals but I can not imagine they have any discernible distinction.;guy;guy;sg;anim;conc;def
pgb-index-nocontact-simple-down;Well PGB-index-nocontact-simple-down the first guy PGE seems very into it.;guy;guy;sg;anim;conc;def
pgb-index-contact-complex-down;I think this PGE is PGB-index-contact-simple-down the girl from this that he is PGE PGB-index-contact-complex-down the guy in the striped shirt PGE is telling him.;guy;guy;sg;anim;conc;def
pgb-index-nocontact-simple-down;One guy is speaking PGE PGB-index-nocontact-simple-down to the other guy PGE.;guy;guy;sg;anim;conc;def
pgb-index-contact-complex-down;But he has PGB-index-contact-complex-down got the handcuffs PGE on so.;handcuffs;handcuffs;pl;inanim;conc;def
pgb-index-contact-complex-down;He seems to have PGB-index-contact-complex-down a history of drinking PGE with friends.;history;history;sg;inanim;abs;indef
pgb-palm-nocontact-simple-down;Yeah PGB-palm-nocontact-simple-down so from the horror PGE PGB-palm-nocontact-complex-down to more PGE yeah I do not know more reflective mood.;horror;horror;sg;inanim;abs;def
pgb-palm-contact-complex-down;What PGB-palm-contact-complex-down is this thing is it a house PGE or PGB-index-contact-simple-down is it a PGE.;house;house;sg;inanim;conc;indef
pgb-palm-contact-complex-down;Well PGB-palm-contact-simple-down when he was in jail PGE having this hope and this dream that his family will be very happy to see him when obviously.;jail;jail;sg;inanim;conc;other
pgb-palm-contact-complex-down;And so he starts to PGB-palm-contact-complex-down his journey home PGE.;journey;journey;sg;inanim;abs;pp
pgb-other-nocontact-complex-down;Cause PGB-other-nocontact-complex-down the kid is already a bit older PGE.;kid;kid;sg;anim;conc;def
pgb-index-contact-complex-down;I mean PGE PGB-palm-nocontact-simple-down this PGE PGB-index-contact-complex-down the actually beating itself definitely happened while the kid was a child PGE.;kid;kid;sg;anim;conc;def
pgb-index-nocontact-complex-down;And PGB-index-nocontact-simple-down the baby the PGE PGB-index-nocontact-complex-down kid is reaching down PGE for another coconut.;kid;kid;sg;anim;conc;def
pgb-index-nocontact-simple-down;I am thinking PGE that PGB-index-nocontact-simple-down that lady PGE is PGB-index-contact-simple-down his PGE girlfriend.;lady;lady;sg;anim;conc;dem
pgb-index-nocontact-simple-down;He has PGB-index-nocontact-simple-down got this chain on his leg PGE.;leg;leg;sg;inanim;conc;pp
pgb-palm-contact-simple-down;He PGB-palm-contact-simple-down rejects his old life His PGE old habits.;life;life;sg;inanim;abs;pp
pgb-index-contact-complex-down;Is that PGB-index-contact-complex-down him like seeing the light or PGE something.;light;light;sg;inanim;abs;def
pgb-index-contact-complex-down;So like PGB-index-contact-complex-down light coming PGE through his window.;light;light;sg;inanim;abs;other
pgb-palm-nocontact-simple-vertical;So what I am guessing happened in this picture is that PGB-palm-nocontact-simple-vertical the man PGE I guess hit his wife.;man;man;sg;anim;conc;def
pgb-index-nocontact-simple-vertical;So I guess PGB-index-nocontact-simple-vertical the old man is someone is you know PGE like they are related right.;man;man;sg;anim;conc;def
pgb-index-nocontact-simple-vertical;Because PGB-index-nocontact-simple-vertical it was an old man sitting in the PGE.;man;man;sg;anim;conc;indef
pgb-index-contact-complex-down;That the PGB-index-contact-complex-down man in the PGE torn clothes he does not have like a sad face.;man;man;sg;anim;conc;def
pgb-index-nocontact-complex-down;And this guy PGE PGB-index-nocontact-complex-down observed his friend girlfriend stroking some man arm PGE.;man;man;sg;anim;conc;pp
pgb-other-nocontact-complex-down;So PGB-other-nocontact-complex-down this must be the moment PGE PGB-index-nocontact-simple-down that it actually happened PGE.;moment;moment;sg;inanim;abs;def
pgb-index-contact-complex-down;I would even say it is like right PGE PGB-index-contact-simple-down like moments before this PGE picture.;moments;moment;pl;inanim;abs;other
pgb-palm-nocontact-simple-down;So what I thinking is that PGB-palm-nocontact-simple-down that is very early in the morning PGE.;morning;morning;sg;inanim;abs;def
pgb-index-contact-complex-down;I was thinking I PGB-index-contact-complex-down thought it was on the night PGE that it PGB-index-nocontact-simple-down happened PGE and he was saying;night;night;sg;inanim;abs;def
pgb-palm-nocontact-simple-down;uhm Like I want to say PGB-palm-nocontact-simple-down he does look like an official PGE.;official;official;sg;anim;conc;indef
pgb-index-nocontact-simple-down;I think PGB-index-nocontact-simple-down this is PGE PGB-index-nocontact-simple-down the same outfit PGE as that definitely.;outfit;outfit;sg;inanim;conc;def
pgb-palm-nocontact-complex-down;He has PGB-palm-nocontact-simple-down whole pants PGE.;pants;pants;pl;inanim;conc;indef
pgb-index-nocontact-complex-vertical;I guess he is with his friends PGB-palm-nocontact-complex-vertical in a park PGE they are all drinking something.;park;park;sg;inanim;conc;indef
pgb-other-nocontact-complex-down;Cause we are limited to I guess the the testimonies PGB-other-nocontact-complex-down of these two parties PGE.;parties;party;pl;anim;conc;dem
pgb-other-nocontact-complex-down;Is he the PGB-other-nocontact-simple-down same guy PGE from before though like the PGB-other-nocontact-complex-down same people PGE?;people;people;pl;anim;conc;def
pgb-index-nocontact-simple-vertical;But it is I think the PGB-index-nocontact-simple-vertical same group of people that PGE.;people;people;pl;anim;conc;def
pgb-other-nocontact-simple-down;He could also be native cause he seems like he is dressed pretty pretty appropriately from PGB-other-nocontact-simple-down the other people PGE.;people;people;pl;anim;conc;def
pgb-other-nocontact-simple-down;But uhm PGE PGB-other-nocontact-simple-down this other person who is coming into the picture he looks pretty PGE happy to talk to them about something I suppose.;person;person;sg;anim;conc;dem
pgb-index-nocontact-simple-up;And he thinkns PGB-index-nocontact-simple-up in the next picture PGE about what might happen to him.;picture;picture;sg;inanim;conc;def
pgb-other-nocontact-simple-down;But uhm PGE PGB-other-nocontact-simple-down this other person who is coming into the picture he looks pretty PGE happy to talk to them about something I suppose.;picture;picture;sg;inanim;conc;dem
pgb-index-contact-simple-down;And there is another extra in the PGB-index-contact-simple-down picture PGE.;picture;picture;sg;inanim;conc;def
pgb-index-nocontact-simple-down;But is that the guy PGE PGB-index-nocontact-simple-down in the picture PGE.;picture;picture;sg;inanim;conc;def
pgb-index-nocontact-complex-down;I think PGB-index-nocontact-complex-down this is then the next picture PGE.;picture;picture;sg;inanim;conc;def
pgb-index-contact-complex-down;Yeah PGB-index-contact-complex-down and in the picture it PGE shows the man punching the woman.;picture;picture;sg;inanim;conc;def
pgb-index-contact-complex-down;On the other hand those are PGB-index-contact-complex-down sad pictures PGE.;pictures;picture;pl;inanim;conc;dem
pgb-index-contact-complex-down;She is PGE PGB-index-contact-complex-down reporting that to the police PGE.;police;police;pl;anim;conc;def
pgb-index-contact-simple-down;So this is the PGB-index-contact-simple-down prison PGE PGB-palm-nocontact-complex-down but he is PGE.;prison;prison;sg;inanim;conc;def
pgb-palm-contact-simple-vertical;He does manage PGB-palm-contact-simple-vertical to have some relationship with his child obviously PGE.;relationship;relationship;sg;anim;abs;indef
pgb-index-nocontact-simple-down;Cause that is like PGB-index-nocontact-simple-down the scene is not it PGE.;scene;scene;sg;inanim;conc;def
pgb-palm-nocontact-simple-down;He is PGB-index-contact-simple-down wearing a dark PGE PGB-index-nocontact-simple-down shirt PGE.;shirt;shirt;sg;inanim;conc;indef
pgb-index-contact-complex-down;I think this PGE is PGB-index-contact-simple-down the girl from this that he is PGE PGB-index-contact-complex-down the guy in the striped shirt PGE is telling him.;shirt;shirt;sg;inanim;conc;def
pgb-other-contact-simple-down;But he is on the PGB-other-contact-simple-down side of the interior PGE.;side;side;sg;inanim;conc;def
pgb-index-nocontact-simple-down;He only has PGB-palm-nocontact-simple-down like a little sliver PGE of light also in here.;sliver;sliver;sg;inanim;conc;indef
pgb-index-contact-simple-down;And PGB-index-contact-simple-down do we thing this was his son PGE.;son;son;sg;anim;conc;pp
pgb-index-contact-simple-down;They PGB-index-contact-simple-down have their son PGE.;son;son;sg;anim;conc;pp
pgb-index-contact-simple-down;I believe PGE PGB-index-contact-simple-down this is his son PGE.;son;son;sg;anim;conc;pp
pgb-index-contact-simple-down;And being PGE re-united PGB-index-contact-simple-down with his son PGE PGB-index-contact-simple-down and PGE wife.;son;son;sg;anim;conc;pp
pgb-palm-nocontact-simple-up;Either they are walking out or PGB-index-nocontact-simple-up into some sort PGE of market.;sort;sort;sg;inanim;abs;indef
pgb-index-nocontact-complex-down;You can tell PGB-index-nocontact-complex-down by the state of his clothing PGE PGB-index-nocontact-simple-down that he is PGE PGB-index-nocontact-simple-down going off to his PGE his court date or whatever.;state;state;sg;inanim;abs;def
pgb-index-contact-complex-down;What PGB-index-contact-complex-down is this thing is it a house PGE or PGB-index-contact-simple-down is it a PGE.;thing;thing;sg;inanim;conc;dem
pgb-index-contact-simple-down;She PGB-index-contact-simple-down he is doing their work carrying the thing PGE.;thing;thing;sg;inanim;conc;def
