Gest;sent;name;value;pos;feats;num;anim;modifier
pgb-index-contact-complex-down;PGB-index-contact-simple-down Ну а дед в позиции готовой PGE защищать, если честно.;w5;позиции;NOUN;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;pl;abstract;no
pgb-index-nocontact-complex-down;Ну в общем PGB-index-nocontact-simple-down они дают показания PGE.;w3;показания;NOUN;Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur;pl;abstract;no
pgb-palm-nocontact-complex-down;Потом, почему-то PGB-index-contact-simple-down мне кажется, что вот этот вот парень PGE вообще не имеет PGB-index-nocontact-complex-down отношения к ним PGE.;w1;отношения;NOUN;Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur;pl;abstract;no
pgb-palm-nocontact-complex-vertical;Ну нормальные PGB-palm-nocontact-simple-vertical реалии PGE жизни человека.;w1;реалии;NOUN;Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing;pl;abstract;no
pgb-palm-nocontact-complex-vertical;PGB-index-nocontact-simple-vertical Потому что тут видно, что он был недоволен тем, что ему рассказали PGE. PGB-palm-nocontact-simple-vertical А тут он как бы я вижу последствия PGE.;w8;последствия;NOUN;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;pl;abstract;no
pgb-palm-nocontact-simple-vertical;Ну PGB-palm-nocontact-simple-vertical хотя бы он PGB-palm-nocontact-complex-down не вижу тут ни нотки раскаяние нигде PGE.;w9;нотки;NOUN;Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur;pl;abstract;no
pgb-index-contact-complex-down;Ну смотри не, PGB-index-contact-complex-down из камеры свет то светит PGE.;w3;свет;NOUN;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;sg;abstract;no
pgb-index-contact-complex-down;PGB-index-contact-complex-down Ну то есть, тут то явно прошло как минимум PGE несколько лет, да? Да.;w9;минимум;NOUN;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;sg;abstract;no
pgb-index-contact-complex-down;PGB-index-contact-simple-down В ярости PGE PGB-index-contact-complex-down ты имеешь в виду PGE мужчина, PGB-index-nocontact-simple-down не дедушка PGE? PGB-index-nocontact-simple-down Да, да, да PGE.;w4;виду;NOUN;Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing;sg;abstract;no
pgb-index-contact-simple-down;PGB-index-contact-simple-down Это на самом деле нифига не раскаивается PGE.;w4;деле;NOUN;Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing;sg;abstract;dem
pgb-index-contact-simple-down;Это он PGB-index-contact-simple-down пришел домой с пьянки PGE.;w4;пьянки;NOUN;Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing;sg;abstract;no
pgb-index-contact-simple-down;PGB-index-contact-simple-down Это продолжение PGE.;w2;продолжение;NOUN;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;sg;abstract;no
pgb-index-contact-simple-down;PGB-index-contact-simple-down В ярости PGE PGB-index-contact-complex-down ты имеешь в виду PGE мужчина, PGB-index-nocontact-simple-down не дедушка PGE? PGB-index-nocontact-simple-down Да, да, да PGE.;w2;ярости;NOUN;Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing;sg;abstract;no
pgb-index-contact-simple-down;PGB-index-contact-simple-down И рассказывает ему историю их знакомства PGE и PGB-index-contact-simple-down ему что-то не нравится PGE.;w6;знакомства;NOUN;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;sg;abstract;pp
pgb-index-nocontact-complex-down;Хотя PGB-index-contact-complex-down жена то тоже явно PGE, вот то, PGB-index-nocontact-simple-vertical что мы в самом начале сказали PGE, да, PGB-index-nocontact-complex-down что она явно PGE PGB-index-nocontact-complex-down Никто на самом деле не счастлив PGE его видеть то по началу.;w4;деле;NOUN;Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing;sg;abstract;dem
pgb-index-nocontact-simple-down;Там просто такой ракурс. PGB-index-nocontact-simple-down Это просто ракурс PGE такой.;w3;ракурс;NOUN;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;sg;abstract;dem
pgb-index-nocontact-simple-down;Там PGB-index-nocontact-simple-down целая такая пачка PGE.;w3;пачка;NOUN;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;sg;abstract;dem
pgb-index-nocontact-simple-down;Ну почти PGB-index-nocontact-simple-down уверен, что история идет в обратную сторону PGE.;w3;история;NOUN;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;sg;abstract;no
pgb-index-nocontact-simple-down;Ну почти PGB-index-nocontact-simple-down уверен, что история идет в обратную сторону PGE.;w7;сторону;NOUN;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;sg;abstract;other
pgb-index-nocontact-simple-up;Опять же, PGB-index-nocontact-simple-up лучше чем большинство PGE студентов.;w3;большинство;NOUN;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;sg;abstract;no
pgb-index-nocontact-simple-vertical;Хотя PGB-index-contact-complex-down жена то тоже явно PGE, вот то, PGB-index-nocontact-simple-vertical что мы в самом начале сказали PGE, да, PGB-index-nocontact-complex-down что она явно PGE PGB-index-nocontact-complex-down Никто на самом деле не счастлив PGE его видеть то по началу.;w5;начале;NOUN;Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing;sg;abstract;dem
pgb-index-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical В общем PGE, не знаю, я тут вообще не вижу никакого судьи, наверное, PGB-index-nocontact-simple-down досудебное.;w2;общем;NOUN;Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing;sg;abstract;Other
pgb-index-nocontact-simple-vertical;Это, PGB-index-nocontact-simple-vertical наверное, первый момент PGE когда он вышел.;w3;момент;NOUN;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;sg;abstract;other
pgb-other-contact-simple-down;Ну да, PGB-other-contact-simple-down он стоит тут PGE. PGB-other-contact-simple-down Там вроде как свобода PGE.;w4;свобода;NOUN;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;sg;abstract;No
pgb-other-contact-simple-up;PGB-other-contact-simple-up Вот это его там кусок хлеба, который ему дали PGE.;w5;кусок;NOUN;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;sg;abstract;dem
pgb-other-nocontact-complex-vertical;Но как бы PGB-other-nocontact-complex-vertical у него нет ни злость на лице PGE, а какой-то типа.;w5;злость;NOUN;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;sg;abstract;no
pgb-palm-contact-complex-down;Вот, теперь PGB-palm-contact-complex-down на самом деле мне интересно, что же у него PGE вызвало такой гнев. А.;w3;деле;NOUN;Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing;sg;abstract;dem
pgb-palm-contact-complex-down;То есть PGE PGB-index-contact-simple-down и PGE PGB-index-contact-complex-down собственно вопрос в том, что PGE, похоже, PGB-index-contact-simple-down ему выдают эти вещи сейчас PGE.;w2;вопрос;NOUN;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;sg;abstract;no
