pgb-index-contact-complex-down;sent;name;value;pos;feats;class;use
pgb-index-nocontact-complex-down;И PGB-index-nocontact-complex-down у них все хорошо PGE.;w3;все;PRON;Animacy=Anim|Case=Nom|Number=Plur;all;endophoric
pgb-other-nocontact-simple-up;Ну PGB-other-nocontact-simple-up судя по всему PGE, он там несколько лет точно провел за избиение.;w3;всему;PRON;Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing;all;endophoric
pgb-index-nocontact-complex-up;Ну PGB-index-nocontact-complex-up слушай, судя по всему это стойки PGE, стойки этими, фруктами.;w4;всему;PRON;Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing;all;endophoric
pgb-index-contact-simple-down;А, PGB-index-contact-simple-down это PGE PGB-index-contact-simple-down та же самая девушка PGE.;w1;та;pron;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;dem_p_dist;endophoric
pgb-index-contact-complex-down;PGB-index-contact-complex-down Футболка одна и та же, а прическа нет PGE.;w4;та;pron;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;dem_p_dist;endophoric
pgb-other-nocontact-complex-up;PGB-other-nocontact-complex-up Ну то есть тут видно PGE, PGB-other-nocontact-simple-up он PGE PGB-other-nocontact-complex-up обвиняет ее в том PGE, что PGB-index-nocontact-complex-up она сильно мила к нему PGE была.;w2;то;PRON;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;dem_p_dist;endophoric
pgb-palm-contact-complex-vertical;Мы не знаем кто это. PGB-palm-contact-simple-vertical Да, в общем он пришел домой после PGE PGB-palm-contact-complex-vertical того как ему на пьянке рассказали PGE, PGB-palm-nocontact-complex-vertical что видели его жену PGE. PGB-palm-nocontact-complex-vertical Что она с кем-то общалась PGE. PGB-palm-contact-simple-vertical Очень дружелюбно.;w1;того;PRON;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;dem_p_dist;endophoric
pgb-index-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical Ну там же была PGE картинка как он.;w2;там;ADV;Degree=Pos;loc_adv_dist;endophoric
pgb-other-contact-simple-up;PGB-other-contact-simple-up Вот это его там кусок хлеба, который ему дали PGE.;w4;там;ADV;Degree=Pos;loc_adv_dist;endophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Слушай, там и PGE.;w2;там;ADV;Degree=Pos;loc_adv_dist;endophoric
pgb-palm-contact-simple-down;То есть как бы PGB-palm-contact-simple-down он там вышел PGE.;w2;там;ADV;Degree=Pos;loc_adv_dist;endophoric
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-vertical И мы потом узнаем PGE, PGB-index-nocontact-complex-down что же там случилось PGE.;w3;там;ADV;Degree=Pos;loc_adv_dist;endophoric
pgb-index-contact-simple-down;Нет, тут PGB-index-contact-simple-down смотри, вот этот PGE PGB-index-contact-complex-down чувак ему говорит о том, что PGE PGB-index-contact-simple-down он якобы там PGE, PGB-index-nocontact-complex-down что эта девушка PGE.;w3;там;ADV;Degree=Pos;loc_adv_dist;endophoric
pgb-index-contact-complex-down;Да, PGB-index-contact-complex-down тут он типа, что он там сидел в темной PGE своей камере.;w6;там;ADV;Degree=Pos;loc_adv_dist;endophoric
pgb-other-nocontact-complex-up;PGB-other-nocontact-complex-up Ну то есть тут видно PGE, PGB-other-nocontact-simple-up он PGE PGB-other-nocontact-complex-up обвиняет ее в том PGE, что PGB-index-nocontact-complex-up она сильно мила к нему PGE была.;w4;тут;pron;Degree=Pos;loc_adv_prox;endophoric
pgb-palm-nocontact-complex-up;PGB-palm-nocontact-complex-up Тут очень сложно их как-то по-другому PGE поставить на самом деле.;w1;тут;pron;Degree=Pos;loc_adv_prox;endophoric
pgb-index-nocontact-complex-down;Но PGB-index-nocontact-complex-down тут явно PGE, что не правильно, потому что ребенок подрос к сожалению.;w1;тут;pron;Degree=Pos;loc_adv_prox;endophoric
pgb-index-contact-simple-down;Нет, PGB-index-contact-simple-down тут к сожалению PGE, тут не.;w1;тут;pron;Degree=Pos;loc_adv_prox;endophoric
pgb-index-contact-complex-down;И PGB-index-contact-complex-down родители явно не PGE довольны.;w2;явно;ADV;Degree=Pos;evid_adv;other
pgb-index-contact-complex-down;Ну да, PGB-index-contact-complex-down ну это явно до PGE, потому что все таки PGB-index-contact-simple-down он ее PGE ударил.;w3;явно;ADV;Degree=Pos;evid_adv;other
pgb-index-nocontact-complex-down;Там PGB-index-nocontact-complex-down явно где-то PGE на заднем плане море, песочек, там все классно.;w1;явно;ADV;Degree=Pos;evid_adv;other
pgb-index-nocontact-complex-down;Да, PGB-index-nocontact-complex-down тут явно пропитые PGE физиономии.;w2;явно;ADV;Degree=Pos;evid_adv;other
pgb-index-nocontact-simple-vertical;То есть, PGB-index-nocontact-simple-vertical ну как бы явно PGE, что положение его печально.;w4;явно;ADV;Degree=Pos;evid_adv;other
pgb-index-contact-simple-down;PGB-index-contact-simple-down То есть там явно то PGE день.;w4;явно;ADV;Degree=Pos;evid_adv;other
pgb-index-contact-complex-down;PGB-index-contact-complex-down Ну то есть, тут то явно прошло как минимум PGE несколько лет, да? Да.;w6;явно;ADV;Degree=Pos;evid_adv;other
