pgb-index-contact-complex-down;sent;name;value;pos;feats;trans;v.form;use;semantics
pgb-index-nocontact-simple-down;И что PGB-index-nocontact-simple-down в тюрьме его будет избивать PGE полицейский.;w4;будет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-complex-down;PGB-index-contact-complex-down Хотя нет, тут валяются уже бутылки PGE, то есть они.;w4;валяются;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;intrans;imperfective;card;material
pgb-palm-contact-simple-down;Да-да-да PGE. PGB-palm-contact-simple-down Думает PGE, PGB-palm-contact-simple-down возвращается PGE.;w1;возвращается;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;intrans;imperfective;card;material
pgb-palm-nocontact-complex-down;Ну короче, да, человек PGB-palm-nocontact-complex-down человек выходит из PGE из.;w2;выходит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-simple-down;Ну мне, правда, очень нравится вариант, где он PGB-index-contact-simple-down выходит PGE выходит прям.;w1;выходит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-complex-down;Так, PGB-index-contact-complex-down я не знаю, что делает вот этот PGE человек.;w5;делает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-simple-down;PGB-index-contact-simple-down То есть вот это дед PGE, PGB-index-nocontact-simple-down а это PGE, PGB-index-nocontact-complex-down ну, жена PGE.;w2;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-other-nocontact-complex-up;PGB-other-nocontact-complex-up Ну то есть тут видно PGE, PGB-other-nocontact-simple-up он PGE PGB-other-nocontact-complex-up обвиняет ее в том PGE, что PGB-index-nocontact-complex-up она сильно мила к нему PGE была.;w3;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Зато хлебушек есть PGE.;w3;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-simple-up;Ну слушай, если PGB-index-contact-simple-up есть деньги на обувь PGE, то уже неплохо живут.;w1;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-simple-down;Глаз тоже PGE нет PGB-index-contact-simple-down то есть у нее они PGE прорисованы глаза, а PGB-index-nocontact-simple-down вот у этого PGE у дитя как-то все не понятно.;w2;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Ну тут уже сын есть PGE.;w5;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-nocontact-simple-down;Ну почти PGB-index-nocontact-simple-down уверен, что история идет в обратную сторону PGE.;w4;идет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-complex-down;PGB-index-contact-complex-down Вот они идут по улице PGE.;w3;идут;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-complex-down;Смотри, они PGB-index-contact-complex-down это они PGE собрали и PGB-index-contact-simple-down идут продавать PGE, наверное, да?;w1;идут;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-nocontact-simple-down;И что PGB-index-nocontact-simple-down в тюрьме его будет избивать PGE полицейский.;w5;избивать;VERB;Aspect=Imp|VerbForm=Inf|Voice=Act;trans;imperfective;card;material
pgb-index-nocontact-simple-down;А PGB-index-nocontact-simple-down вот старичек наблюдает PGE.;w3;наблюдает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-complex-down;А, PGB-index-contact-complex-down здесь еще алкоголь присутствует PGE.;w4;присутствует;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-complex-down;Ну смотри не, PGB-index-contact-complex-down из камеры свет то светит PGE.;w5;светит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-complex-down;Да, PGB-index-contact-complex-down тут он типа, что он там сидел в темной PGE своей камере.;w7;сидел;VERB;Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-other-contact-simple-up;На самом деле, на самом деле, PGB-other-contact-simple-up мне кажется, что это он сидит PGE вот здесь вот, где там этот допрос был, PGB-index-contact-simple-down вот здесь PGE еще, и думает, что PGB-index-contact-simple-down с ним будет в тюрьме PGE.;w6;сидит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-simple-down;PGB-index-contact-simple-down И тут они тоже сидят в каком-то PGE бунгало.;w5;сидят;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-other-contact-simple-down;Ну да, PGB-other-contact-simple-down он стоит тут PGE. PGB-other-contact-simple-down Там вроде как свобода PGE.;w2;стоит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-complex-down;PGB-index-contact-simple-down Это жертва, она рассказывает PGE, как PGB-index-contact-simple-down ее били PGE.;w2;били;VERB;Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur;trans;imperfective;card;material
pgb-index-contact-simple-vertical;PGB-index-contact-simple-vertical Точно, смотри, он боится PGE.;w4;боится;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;trans;imperfective;card;mental
pgb-index-contact-simple-down;PGB-index-contact-simple-down Что с ним будет PGE.;w4;будет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;На самом деле, на самом деле, PGB-other-contact-simple-up мне кажется, что это он сидит PGE вот здесь вот, где там этот допрос был, PGB-index-contact-simple-down вот здесь PGE еще, и думает, что PGB-index-contact-simple-down с ним будет в тюрьме PGE.;w3;будет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;Там PGB-index-contact-simple-down у него было отрицание PGE.;w3;было;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-vertical;PGB-index-contact-simple-vertical А вот этого не было PGE.;w5;было;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-complex-down;Ну во-первых, как бы, PGB-index-contact-complex-down смешно было бы в тюрьму PGE в шлепках пойти.;w2;было;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-palm-nocontact-simple-down;То есть как бы сначала PGB-palm-nocontact-simple-down нужно было рассказать PGE, PGB-palm-nocontact-simple-down а потом уже PGE вмазать.;w2;было;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;Либо PGB-palm-nocontact-simple-vertical это его друг PGE, PGB-index-contact-complex-down который рассказывает этому PGE парню о том, что PGB-index-contact-simple-down он видел его девушку PGE флиртующей PGB-index-contact-complex-down с другими PGE. PGB-other-nocontact-simple-down И он PGE весь такой, ярость, ярость.;w2;видел;VERB;Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-simple-down;Ну скорее всего PGB-index-nocontact-simple-down он не говорит на их PGE языке.;w3;говорит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
